0,0250;1,6766
0,0406;1,8024
0,0659;1,9056
0,0813;2,0112
0,1051;2,1201
0,1287;2,3396
0,1530;2,4498
0,1773;2,5638
0,1937;2,6750
0,2194;2,7888
0,2338;2,9076
0,2573;3,0337
0,2825;3,1682
0,3081;3,4373
0,3335;3,5791
0,3568;3,7253
0,3807;3,8753
0,4127;4,1885
0,4381;4,3561
0,4630;4,5318
0,5043;4,9066
0,5392;5,3160
0,5636;5,5377
0,5885;6,0138
0,6136;6,2684
0,6393;6,5306
0,6660;6,8001
0,6925;7,3616
0,7177;7,6519
0,7424;7,9471
0,7663;8,2473
0,7906;8,8632
0,8153;9,1700
0,8404;9,4701
0,8658;9,7632
0,8896;10,3271
0,9154;10,5969
0,9392;10,8588
0,9637;11,1129
1,0135;11,8221
1,0400;12,0412
1,0640;12,2513
1,0885;12,6445
1,1149;12,8178
1,1389;12,9824
1,1629;13,1492
1,1875;13,2965
1,2119;13,5786
