0,0033;0,0000
0,0064;0,0000
0,0094;0,0000
0,0119;0,0000
0,0147;104,2471
0,0182;0,0000
0,0206;0,0000
0,0232;0,0000
0,0256;0,0000
0,0495;3,1834
0,0739;4,0283
0,0778;26,7010
0,1012;3,9312
0,1047;0,0000
0,1272;4,8139
0,1307;0,0000
0,1531;4,0885
0,1567;30,0488
0,1800;4,0026
0,1841;0,0000
0,2065;4,7902
0,2300;4,0152
0,2541;4,4175
0,2684;6,7379
0,2828;7,3149
0,3060;4,2693
0,3307;4,1939
0,3547;8,4107
0,3798;4,1179
0,4033;4,6248
0,4269;4,4620
0,4516;4,5858
0,4746;9,6990
0,4988;4,6359
0,5232;4,8717
0,5472;5,0675
0,5777;8,4706
0,6042;5,1591
0,6280;5,8894
0,6428;9,7176
0,6694;5,6188
0,6931;6,2896
0,7174;13,2143
0,7330;0,0000
0,7462;13,2455
0,7694;7,8541
0,7947;15,3076
0,8197;8,2939
0,8436;9,2295
0,8669;9,9335
0,8907;10,1630
0,9059;16,6635
0,9296;11,0325
0,9536;11,1868
0,9688;18,2218
0,9921;12,1114
1,0071;19,3095
1,0302;12,7045
1,0546;24,7365
