0,0034;0,0086
0,0067;0,0086
0,0093;0,0086
0,0118;0,0086
0,0143;0,1137
0,0181;0,1137
0,0207;0,1137
0,0233;0,1137
0,0258;0,1137
0,0284;0,1137
0,0311;0,1137
0,0337;0,3988
0,0372;0,3988
0,0398;0,3988
0,0424;0,3988
0,0662;0,4761
0,0901;0,5784
0,1137;0,7782
0,1383;0,8834
0,1619;0,9770
0,1859;1,0791
0,2094;1,1744
0,2239;1,2787
0,2471;1,3741
0,2702;1,4784
0,2936;1,6811
0,3198;1,7812
0,3459;1,8886
0,3701;1,9919
0,3936;2,2089
0,4175;2,3219
0,4409;2,4323
0,4646;2,5460
0,4883;2,6570
0,5123;2,7724
0,5354;3,0137
0,5677;3,1396
0,5932;3,2740
