0,0250;0,0000
0,0406;8,0593
0,0659;4,0706
0,0813;6,8925
0,1051;4,5718
0,1287;9,2954
0,1530;4,5363
0,1773;4,6878
0,1937;6,7892
0,2194;4,4205
0,2338;8,2590
0,2573;5,3687
0,2825;5,3372
0,3081;10,4990
0,3335;5,5928
0,3568;6,2670
0,3807;6,2759
0,4127;9,7894
0,4381;6,5951
0,4630;7,0775
0,5043;9,0583
0,5392;11,7434
0,5636;9,0983
0,5885;19,1156
0,6136;10,1320
0,6393;10,2110
0,6660;10,0731
0,6925;21,2546
0,7177;11,4940
0,7424;11,9630
0,7663;12,5575
0,7906;25,3589
0,8153;12,4359
0,8404;11,9110
0,8658;11,5548
0,8896;23,7014
0,9154;10,4558
0,9392;11,0242
0,9637;10,3456
1,0135;14,2353
1,0400;8,2904
1,0640;8,7451
1,0885;16,0741
1,1149;6,5626
1,1389;6,8527
1,1629;6,9336
1,1875;6,0107
1,2119;11,5540
